,Team,Number,Position,Age,Height,Weight,College,Salary,Firstname,Lastname
437,Portland Trail Blazers,3,SG,24,6-4,200.0,Lehigh,2525160.0,C.J.,McCollum
438,Portland Trail Blazers,44,SG,23,6-7,185.0,Westchester CC,525093.0,Luis,Montero
439,Portland Trail Blazers,24,C,26,6-11,235.0,Duke,1415520.0,Mason,Plumlee
440,Portland Trail Blazers,2,PG,30,6-1,173.0,Dayton,2854940.0,Brian,Roberts
441,Portland Trail Blazers,21,PF,20,6-9,240.0,Indiana,2637720.0,Noah,Vonleh
442,Utah Jazz,33,PF,28,6-8,228.0,Clemson,4775000.0,Trevor,Booker
443,Utah Jazz,3,PG,23,6-1,191.0,Michigan,2658240.0,Trey,Burke
444,Utah Jazz,10,SG,24,6-6,214.0,Colorado,9463484.0,Alec,Burks
446,Utah Jazz,15,PF,24,6-10,265.0,Georgia Tech,12000000.0,Derrick,Favors
448,Utah Jazz,20,SF,26,6-8,226.0,Butler,15409570.0,Gordon,Hayward
449,Utah Jazz,5,SG,23,6-8,206.0,Duke,1348440.0,Rodney,Hood
451,Utah Jazz,23,SF,26,6-6,206.0,Dayton,981348.0,Chris,Johnson
452,Utah Jazz,41,PF,20,6-10,234.0,Kentucky,2239800.0,Trey,Lyles
453,Utah Jazz,8,PG,26,6-3,203.0,Butler,2433333.0,Shelvin,Mack
456,Utah Jazz,24,C,26,7-0,231.0,Kansas,947276.0,Jeff,Withey
